observation_id,species_name,common_name,date_observed,location,image_url,notes
OBS0001,Aquila rapax,Tawny Eagle,2025-05-05,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Seen basking in sun near rocks.
OBS0002,Ceryle rudis,Pied Kingfisher,2025-05-02,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/1/15/Ceryle_rudis_238646426.jpg,"Flock moving in coordinated pattern."
OBS0003,Columba livia,Rock Pigeon,2025-05-11,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/8/86/Columba_livia_domestica_66335414.png,"Heard distinctive call before visual."
OBS0004,Manis crassicaudata,Indian Pangolin,2025-05-12,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,"Frequent visitor to the area."
OBS0005,Haliaeetus leucoryphus,Pallas's Fish Eagle,2025-05-04,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/5/53/Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29_2.jpg,"Spotted during early morning hike."
OBS0006,Francolinus pondicerianus,Grey Francolin,2025-05-13,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,"Noticed in canopy while birdwatching."
OBS0007,Ovis vignei,Urial,2025-05-01,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/d/da/Ovis_vignei_bochariensis.jpg,"Spotted during early morning hike."
OBS0008,Buceros bicornis,Great Hornbill,2025-05-08,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,"Heard distinctive call before visual."
OBS0009,Manis crassicaudata,Indian Pangolin,2025-05-15,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,"Spotted during early morning hike."
OBS0010,Varanus bengalensis,Bengal Monitor,2025-05-08,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/2/26/Bengal_monitor_%28Varanus_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,"Heard distinctive call before visual."
OBS0011,Gyps bengalensis,White-rumped Vulture,2025-05-07,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,"Observed feeding near water source."
OBS0012,Canis aureus,Golden Jackal,2025-05-05,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/f/fd/Canis_aureus_syriacus_114837596.jpg,"Frequent visitor to the area."
OBS0013,Buceros bicornis,Great Hornbill,2025-05-08,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,"Frequent visitor to the area."
OBS0014,Aquila rapax,Tawny Eagle,2025-05-15,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,"Spotted during early morning hike."
OBS0015,Hystrix indica,Indian Crested Porcupine,2025-05-08,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,"Heard distinctive call before visual."
OBS0016,Aquila rapax,Tawny Eagle,2025-05-13,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,"Frequent visitor to the area."
OBS0017,Naja naja,Indian Cobra,2025-05-14,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,"Flock moving in coordinated pattern."
OBS0018,Alcedo atthis,Common Kingfisher,2025-05-13,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,"Observed feeding near water source."
OBS0019,Felis chaus,Jungle Cat,2025-05-04,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/2/24/FelisChausMunsiari1.jpg,"Observed feeding near water source."
OBS0020,Psittacula krameri,Rose-ringed Parakeet,2025-05-06,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/1f/Rose-ringed_parakeet_%28Psittacula_krameri_borealis%29_male_Jaipur_2.jpg,"Frequent visitor to the area."
OBS0021,Aquila rapax,Tawny Eagle,2025-05-10,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,"Frequent visitor to the area."
OBS0022,Lutra lutra,Eurasian Otter,2025-05-08,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,"Seen basking in sun near rocks."
OBS0023,Milvus migrans,Black Kite,2025-05-05,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,"Observed with juvenile(s) nearby."
OBS0024,Axis axis,Chital Deer,2025-05-16,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Unusual behavior noted—possibly nesting."
OBS0025,Ceryle rudis,Pied Kingfisher,2025-05-07,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/1/15/Ceryle_rudis_238646426.jpg,"Seen basking in sun near rocks."
OBS0026,Hystrix indica,Indian Crested Porcupine,2025-05-14,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,"Unusual behavior noted—possibly nesting."
OBS0027,Macaca mulatta,Rhesus Macaque,2025-05-08,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/d/d6/Rhesus_macaque_%28Macaca_mulatta_mulatta%29%2C_male%2C_Gokarna.jpg,"Observed feeding near water source."
OBS0028,Naja naja,Indian Cobra,2025-05-01,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,"Observed with juvenile(s) nearby."
OBS0029,Hirundo rustica,Barn Swallow,2025-05-15,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/0/03/Barn_Swallow.jpg,"Heard distinctive call before visual."
OBS0030,Axis axis,Chital Deer,2025-05-16,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,"Observed feeding near water source."
OBS0031,Alcedo atthis,Common Kingfisher,2025-05-07,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,"Rare sighting for this time of year."
