observation_id,species_name,common_name,date_observed,location,image_url,notes,observer
OBS0101,Pinus roxburghii,Chir Pine,2025-05-10,Margalla Hills,https://www.istockphoto.com/photo/chir-pine-gm157836207-13244165,Coniferous tree with long needle-like leaves.,Manahil
OBS0102,Olea ferruginea,Olive Tree,2025-05-08,Shakarparian,https://forestrypedia.com/wp-content/uploads/2016/12/Olea-ferruginea.jpg,Hardwood tree with greyish-green leaves.,Shitba
OBS0103,Senegalia modesta,Phulai,2025-05-09,Faisal Mosque,https://efloraofindia.com/wp-content/uploads/2012/07/Senegalia-modesta.jpg,Thorny shrub providing shelter to local wildlife.,Ali
OBS0104,Dodonaea viscosa,Snatha,2025-05-12,Rawal Lake,https://www.dreamstime.com/dodonaea-viscosa-image276717602,Evergreen shrub used for erosion control.,Sara
OBS0105,Butea frondosa,Dhak,2025-05-14,Pir Sohawa,https://www.istockphoto.com/photo/butea-frondosa-gm157836207-13244165,Deciduous tree with bright orange flowers.,Manahil
OBS0106,Punica granatum,Pomegranate Tree,2025-05-07,Saidpur Village,https://www.vdberk.com/media/trees/punica-granatum.jpg,Fruit-bearing tree with edible seeds.,Shitba
OBS0107,Bauhinia variegata,Kachnar,2025-05-11,Daman-e-Koh,https://www.istockphoto.com/photo/bauhinia-variegata-gm157836207-13244165,Flowering tree with orchid-like blossoms.,Ali
OBS0108,Acacia nilotica,Acacia Tree,2025-05-13,Zoo vicinity,https://www.istockphoto.com/photo/acacia-nilotica-gm157836207-13244165,Tree with yellow ball-shaped flowers.,Shitba
OBS0109,Eucalyptus globulus,Eucalyptus,2025-05-06,"Trail 3, Margalla Hills",https://www.istockphoto.com/photo/eucalyptus-globulus-gm157836207-13244165,Fast-growing tree with aromatic leaves.,Manahil
OBS0110,Rosa indica,Wild Rose,2025-05-10,Islamabad University Forest Area,https://www.gardentags.com/plant-encyclopedia/rosa-indica/39123,Flowering plant with fragrant blooms.,Shitba
OBS0006,Francolinus pondicerianus,Grey Francolin,2025-05-13,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/9/99/Grey_Francolin_or_Grey_Partridge_-_Francolinus_pondicerianus.jpg,Noticed in canopy while birdwatching.,Zainab
OBS0007,Ovis vignei,Urial,2025-05-01,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/d/da/Ovis_vignei_bochariensis.jpg,Spotted during early morning hike.,Omar
OBS0008,Buceros bicornis,Great Hornbill,2025-05-08,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,Heard distinctive call before visual.,Fatima
OBS0009,Manis crassicaudata,Indian Pangolin,2025-05-15,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/4/4a/Indian_Pangolin_Manis_crassicaudata_by_Sujoy.jpg,Spotted during early morning hike.,Farhan
OBS0010,Varanus bengalensis,Bengal Monitor,2025-05-08,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/2/26/Bengal_monitor_%28Varanus_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,Heard distinctive call before visual.,Aisha
OBS0011,Gyps bengalensis,White-rumped Vulture,2025-05-07,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/9/9a/White-rumped_vulture_%28Gyps_bengalensis%29_Photograph_by_Shantanu_Kuveskar.jpg,Observed feeding near water source.,Bilal
OBS0012,Canis aureus,Golden Jackal,2025-05-05,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/f/fd/Canis_aureus_syriacus_114837596.jpg,Frequent visitor to the area.,Hina
OBS0013,Buceros bicornis,Great Hornbill,2025-05-08,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,Frequent visitor to the area.,Kashif
OBS0014,Aquila rapax,Tawny Eagle,2025-05-15,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Spotted during early morning hike.,Nida
OBS0015,Hystrix indica,Indian Crested Porcupine,2025-05-08,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,Heard distinctive call before visual.,Usman
OBS0016,Aquila rapax,Tawny Eagle,2025-05-13,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Frequent visitor to the area.,Sana
OBS0017,Naja naja,Indian Cobra,2025-05-14,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,Flock moving in coordinated pattern.,Tariq
OBS0018,Alcedo atthis,Common Kingfisher,2025-05-13,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,Observed feeding near water source.,Nadia
OBS0019,Felis chaus,Jungle Cat,2025-05-04,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/2/24/FelisChausMunsiari1.jpg,Observed feeding near water source.,Zeeshan
OBS0020,Psittacula krameri,Rose-ringed Parakeet,2025-05-06,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/1f/Rose-ringed_parakeet_%28Psittacula_krameri_borealis%29_male_Jaipur_2.jpg,Frequent visitor to the area.,Rabia
OBS0021,Aquila rapax,Tawny Eagle,2025-05-10,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Frequent visitor to the area.,Manahil
OBS0022,Lutra lutra,Eurasian Otter,2025-05-08,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,Seen basking in sun near rocks.,Shitba
OBS0023,Milvus migrans,Black Kite,2025-05-05,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,Observed with juvenile(s) nearby.,Ali
OBS0024,Axis axis,Chital Deer,2025-05-16,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Unusual behavior noted—possibly nesting.,Sara
OBS0025,Ceryle rudis,Pied Kingfisher,2025-05-07,Daman-e-Koh,https://upload.wikimedia.org/wikipedia/commons/1/15/Ceryle_rudis_238646426.jpg,Seen basking in sun near rocks.,Ahmed
OBS0026,Hystrix indica,Indian Crested Porcupine,2025-05-14,Zoo vicinity,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,Unusual behavior noted—possibly nesting.,Zainab
OBS0027,Macaca mulatta,Rhesus Macaque,2025-05-08,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/d/d6/Rhesus_macaque_%28Macaca_mulatta_mulatta%29%2C_male%2C_Gokarna.jpg,Observed feeding near water source.,Omar
OBS0028,Naja naja,Indian Cobra,2025-05-01,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/a/a5/Indian_cobra.jpg,Observed with juvenile(s) nearby.,Fatima
OBS0029,Hirundo rustica,Barn Swallow,2025-05-15,Saidpur Village,https://upload.wikimedia.org/wikipedia/commons/0/03/Barn_Swallow.jpg,Heard distinctive call before visual.,Farhan
OBS0030,Axis axis,Chital Deer,2025-05-16,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Observed feeding near water source.,Aisha
OBS0031,Alcedo atthis,Common Kingfisher,2025-05-07,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg,Rare sighting for this time of year.,Bilal
OBS0032,Macaca mulatta,Rhesus Macaque,2025-05-16,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/d/d6/Rhesus_macaque_%28Macaca_mulatta_mulatta%29%2C_male%2C_Gokarna.jpg,Seen basking in sun near rocks.,Hina
OBS0033,Phoenicurus ochruros,Black Redstart,2025-05-13,"Trail 2, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/14/Hausrotschwanz_Brutpflege_2006-05-21-05.jpg,Seen basking in sun near rocks.,Kashif
OBS0034,Columba livia,Rock Pigeon,2025-05-06,"Trail 4, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/8/86/Columba_livia_domestica_66335414.png,Flock moving in coordinated pattern.,Nida
OBS0035,Hystrix indica,Indian Crested Porcupine,2025-05-15,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/4/4e/Hystricidae_Hystrix_indica_1.jpg,Spotted during early morning hike.,Usman
OBS0036,Panthera pardus,Common Leopard,2025-05-02,Rawal Lake,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,Observed feeding near water source.,Sana
OBS0037,Herpestes edwardsii,Indian Grey Mongoose,2025-05-11,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,Observed feeding near water source.,Tariq
OBS0038,Buceros bicornis,Great Hornbill,2025-05-11,Shah Allah Ditta Caves,https://upload.wikimedia.org/wikipedia/commons/e/ee/Great_hornbill_Photograph_by_Shantanu_Kuveskar.jpg,Noticed in canopy while birdwatching.,Nadia
OBS0039,Dendrocygna javanica,Lesser Whistling Duck,2025-05-06,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/8/87/Dendrocygna_javanica_-_Chiang_Mai.jpg,Rare sighting for this time of year.,Zeeshan
OBS0040,Canis aureus,Golden Jackal,2025-05-13,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/f/fd/Canis_aureus_syriacus_114837596.jpg,Rare sighting for this time of year.,Rabia
OBS0041,Lutra lutra,Eurasian Otter,2025-05-14,"Trail 1, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/b/b5/Fischotter_Lutra_lutra1.jpg,Frequent visitor to the area.,Manahil
OBS0042,Milvus migrans,Black Kite,2025-05-04,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,Observed with juvenile(s) nearby.,Shitba
OBS0043,Hirundo rustica,Barn Swallow,2025-05-13,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/0/03/Barn_Swallow.jpg,Heard distinctive call before visual.,Ali
OBS0044,Milvus migrans,Black Kite,2025-05-03,Pir Sohawa,https://upload.wikimedia.org/wikipedia/commons/8/88/Black_Kite_Md_Abdur_Rahman_Rana.jpg,Heard distinctive call before visual.,Sara
OBS0045,Herpestes edwardsii,Indian Grey Mongoose,2025-05-15,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/9/96/Herpestes_edwardsii_at_Hyderaba.jpg,Rare sighting for this time of year.,Ahmed
OBS0046,Ceryle rudis,Pied Kingfisher,2025-05-08,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/1/15/Ceryle_rudis_238646426.jpg,Rare sighting for this time of year.,Zainab
OBS0047,Haliaeetus leucoryphus,Pallas's Fish Eagle,2025-05-10,Rawal Dam,https://upload.wikimedia.org/wikipedia/commons/5/53/Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29_2.jpg,Frequent visitor to the area.,Omar
OBS0048,Axis axis,Chital Deer,2025-05-12,Islamabad University Forest Area,https://upload.wikimedia.org/wikipedia/commons/1/10/Spotted_Deer_or_Chital.jpg,Frequent visitor to the area.,Fatima
OBS0049,Panthera pardus,Common Leopard,2025-05-11,Faisal Mosque,https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,Observed feeding near water source.,Farhan
OBS0050,Aquila rapax,Tawny Eagle,2025-05-13,Shakarparian Hills,https://upload.wikimedia.org/wikipedia/commons/7/7a/Aquila_rapax_440543675.jpg,Rare sighting for this time of year.,Aisha
OBS0051,Panthera pardus,Common Leopard,2025-05-15,"Trail 3, Margalla Hills",https://upload.wikimedia.org/wikipedia/commons/e/e8/Indian-Leopard.jpg,Seen basking in sun near rocks.,Bilal
